Config,ARM Address,ARM Function Name,ARM Called Count,ARM Calling Count,ARM Param Count,ARM CBranch Count,ARM Set Size,ARM Sequence Length,MIPS Address,MIPS Function Name,MIPS Called Count,MIPS Calling Count,MIPS Param Count,MIPS CBranch Count,MIPS Set Size,MIPS Sequence Length,Similarity Score,Intersection Size,Union Size,CLS Length,CLS Similarity Score,UserDefined
opt_sibling_calls,0x00037fb4,_Fork,1,1,0,0,4,4,0x00432d90,_Fork,1,1,0,3,15,30,0.26666666666666666,4,15,4,0.23529411764705882,0
opt_sibling_calls,0x00032d48,_IO_adjust_column,1,0,3,2,12,17,0x0042c3d8,_IO_adjust_column,1,0,3,2,12,17,1.0,12,12,14,0.8235294117647058,0
opt_sibling_calls,0x00056c30,_IO_adjust_wcolumn,0,0,3,2,13,18,0x0045b57c,_IO_adjust_wcolumn,0,0,3,2,13,18,1.0,13,13,15,0.8333333333333334,0
opt_sibling_calls,0x00033540,_IO_cleanup,1,11,0,35,21,739,0x0042cc54,_IO_cleanup,1,9,0,28,21,562,0.9090909090909091,20,22,459,0.7056110684089162,0
opt_sibling_calls,0x00032870,_IO_default_doallocate,0,2,1,3,14,30,0x0042bdc4,_IO_default_doallocate,0,2,1,3,14,30,1.0,14,14,28,0.9333333333333333,0
opt_sibling_calls,0x00032bb0,_IO_default_finish,2,2,2,5,12,40,0x0042c15c,_IO_default_finish,2,2,2,5,12,40,1.0,12,12,35,0.875,0
opt_sibling_calls,0x00033cac,_IO_default_imbue,0,0,2,0,1,1,0x0042d594,_IO_default_imbue,0,0,2,0,1,1,1.0,1,1,1,1.0,0
opt_sibling_calls,0x00033b50,_IO_default_pbackfail,1,4,2,9,20,106,0x0042d378,_IO_default_pbackfail,1,4,2,9,20,128,1.0,20,20,73,0.6239316239316239,0
opt_sibling_calls,0x00033c94,_IO_default_read,0,0,3,0,2,2,0x0042d57c,_IO_default_read,0,0,3,0,2,2,1.0,2,2,2,1.0,0
opt_sibling_calls,0x00033c80,_IO_default_seek,0,0,3,0,2,2,0x0042d568,_IO_default_seek,0,0,3,0,2,2,1.0,2,2,2,1.0,0
opt_sibling_calls,0x00032c30,_IO_default_seekoff,0,0,4,0,2,2,0x0042c244,_IO_default_seekoff,0,0,4,0,2,2,1.0,2,2,2,1.0,0
opt_sibling_calls,0x00032808,_IO_default_seekpos,0,1,3,1,12,13,0x0042bd3c,_IO_default_seekpos,0,1,3,1,12,13,1.0,12,12,13,1.0,0
opt_sibling_calls,0x00032720,_IO_default_setbuf,2,2,3,5,20,69,0x0042bbfc,_IO_default_setbuf,2,2,3,6,19,69,0.95,19,20,48,0.6956521739130435,0
opt_sibling_calls,0x00033ca4,_IO_default_showmanyc,0,0,0,0,2,2,0x0042d58c,_IO_default_showmanyc,0,0,0,0,2,2,1.0,2,2,2,1.0,0
opt_sibling_calls,0x00033c8c,_IO_default_stat,0,0,2,0,2,2,0x0042d574,_IO_default_stat,0,0,2,0,2,2,1.0,2,2,2,1.0,0
opt_sibling_calls,0x00032ba8,_IO_default_sync,0,0,1,0,2,2,0x0042c154,_IO_default_sync,0,0,1,0,2,2,1.0,2,2,2,1.0,0
opt_sibling_calls,0x000324c4,_IO_default_uflow,0,1,1,2,16,25,0x0042b814,_IO_default_uflow,0,1,1,2,16,25,1.0,16,16,24,0.96,0
opt_sibling_calls,0x000324bc,_IO_default_underflow,0,0,1,0,2,2,0x0042b80c,_IO_default_underflow,0,0,1,0,2,2,1.0,2,2,2,1.0,0
