Config,ARM Address,ARM Function Name,ARM Called Count,ARM Calling Count,ARM Param Count,ARM CBranch Count,ARM Set Size,ARM Sequence Length,MIPS Address,MIPS Function Name,MIPS Called Count,MIPS Calling Count,MIPS Param Count,MIPS CBranch Count,MIPS Set Size,MIPS Sequence Length,Similarity Score,Intersection Size,Union Size,CLS Length,CLS Similarity Score,UserDefined
opt_size,0x00036ef4,_Fork,1,1,0,0,4,4,0x00430d60,_Fork,1,1,0,3,15,30,0.26666666666666666,4,15,4,0.23529411764705882,0
opt_size,0x00031b38,_IO_adjust_column,1,0,3,2,12,17,0x0042a1f8,_IO_adjust_column,1,0,3,2,12,17,1.0,12,12,14,0.8235294117647058,0
opt_size,0x00055b70,_IO_adjust_wcolumn,0,0,3,2,13,18,0x0045954c,_IO_adjust_wcolumn,0,0,3,2,13,18,1.0,13,13,15,0.8333333333333334,0
opt_size,0x00032330,_IO_cleanup,1,11,0,35,21,739,0x0042aa74,_IO_cleanup,1,9,0,28,21,562,0.9090909090909091,20,22,459,0.7056110684089162,0
opt_size,0x00031660,_IO_default_doallocate,0,2,1,3,14,30,0x00429be4,_IO_default_doallocate,0,2,1,3,14,30,1.0,14,14,28,0.9333333333333333,0
opt_size,0x000319a0,_IO_default_finish,2,2,2,5,12,40,0x00429f7c,_IO_default_finish,2,2,2,5,12,40,1.0,12,12,35,0.875,0
opt_size,0x00032a9c,_IO_default_imbue,0,0,2,0,1,1,0x0042b3b4,_IO_default_imbue,0,0,2,0,1,1,1.0,1,1,1,1.0,0
opt_size,0x00032940,_IO_default_pbackfail,1,4,2,9,20,106,0x0042b198,_IO_default_pbackfail,1,4,2,9,20,128,1.0,20,20,73,0.6239316239316239,0
opt_size,0x00032a84,_IO_default_read,0,0,3,0,2,2,0x0042b39c,_IO_default_read,0,0,3,0,2,2,1.0,2,2,2,1.0,0
opt_size,0x00032a70,_IO_default_seek,0,0,3,0,2,2,0x0042b388,_IO_default_seek,0,0,3,0,2,2,1.0,2,2,2,1.0,0
opt_size,0x00031a20,_IO_default_seekoff,0,0,4,0,2,2,0x0042a064,_IO_default_seekoff,0,0,4,0,2,2,1.0,2,2,2,1.0,0
opt_size,0x000315f8,_IO_default_seekpos,0,1,3,1,12,13,0x00429b5c,_IO_default_seekpos,0,1,3,1,12,13,1.0,12,12,13,1.0,0
opt_size,0x00031510,_IO_default_setbuf,2,2,3,5,20,69,0x00429a1c,_IO_default_setbuf,2,2,3,6,19,69,0.95,19,20,48,0.6956521739130435,0
opt_size,0x00032a94,_IO_default_showmanyc,0,0,0,0,2,2,0x0042b3ac,_IO_default_showmanyc,0,0,0,0,2,2,1.0,2,2,2,1.0,0
opt_size,0x00032a7c,_IO_default_stat,0,0,2,0,2,2,0x0042b394,_IO_default_stat,0,0,2,0,2,2,1.0,2,2,2,1.0,0
opt_size,0x00031998,_IO_default_sync,0,0,1,0,2,2,0x00429f74,_IO_default_sync,0,0,1,0,2,2,1.0,2,2,2,1.0,0
opt_size,0x000312b4,_IO_default_uflow,0,1,1,2,16,25,0x00429634,_IO_default_uflow,0,1,1,2,16,25,1.0,16,16,24,0.96,0
opt_size,0x000312ac,_IO_default_underflow,0,0,1,0,2,2,0x0042962c,_IO_default_underflow,0,0,1,0,2,2,1.0,2,2,2,1.0,0
