Config,ARM Address,ARM Function Name,ARM Called Count,ARM Calling Count,ARM Param Count,ARM CBranch Count,ARM Set Size,ARM Sequence Length,MIPS Address,MIPS Function Name,MIPS Called Count,MIPS Calling Count,MIPS Param Count,MIPS CBranch Count,MIPS Set Size,MIPS Sequence Length,Similarity Score,Intersection Size,Union Size,CLS Length,CLS Similarity Score,UserDefined
opt_stack_protector,0x00038104,_Fork,1,1,0,0,4,4,0x004331a0,_Fork,1,1,0,3,15,30,0.26666666666666666,4,15,4,0.23529411764705882,0
opt_stack_protector,0x00032e98,_IO_adjust_column,1,0,3,2,12,17,0x0042c7e8,_IO_adjust_column,1,0,3,2,12,17,1.0,12,12,14,0.8235294117647058,0
opt_stack_protector,0x00056d80,_IO_adjust_wcolumn,0,0,3,2,13,18,0x0045b98c,_IO_adjust_wcolumn,0,0,3,2,13,18,1.0,13,13,15,0.8333333333333334,0
opt_stack_protector,0x00033690,_IO_cleanup,1,11,0,35,21,739,0x0042d064,_IO_cleanup,1,9,0,28,21,561,0.9090909090909091,20,22,458,0.7046153846153846,0
opt_stack_protector,0x000329c0,_IO_default_doallocate,0,2,1,3,14,30,0x0042c1d4,_IO_default_doallocate,0,2,1,3,14,30,1.0,14,14,28,0.9333333333333333,0
opt_stack_protector,0x00032d00,_IO_default_finish,2,2,2,5,12,40,0x0042c56c,_IO_default_finish,2,2,2,5,12,40,1.0,12,12,35,0.875,0
opt_stack_protector,0x00033dfc,_IO_default_imbue,0,0,2,0,1,1,0x0042d9a4,_IO_default_imbue,0,0,2,0,1,1,1.0,1,1,1,1.0,0
opt_stack_protector,0x00033ca0,_IO_default_pbackfail,1,4,2,9,20,106,0x0042d788,_IO_default_pbackfail,1,4,2,9,20,128,1.0,20,20,73,0.6239316239316239,0
opt_stack_protector,0x00033de4,_IO_default_read,0,0,3,0,2,2,0x0042d98c,_IO_default_read,0,0,3,0,2,2,1.0,2,2,2,1.0,0
opt_stack_protector,0x00033dd0,_IO_default_seek,0,0,3,0,2,2,0x0042d978,_IO_default_seek,0,0,3,0,2,2,1.0,2,2,2,1.0,0
opt_stack_protector,0x00032d80,_IO_default_seekoff,0,0,4,0,2,2,0x0042c654,_IO_default_seekoff,0,0,4,0,2,2,1.0,2,2,2,1.0,0
opt_stack_protector,0x00032958,_IO_default_seekpos,0,1,3,1,12,13,0x0042c14c,_IO_default_seekpos,0,1,3,1,12,13,1.0,12,12,13,1.0,0
opt_stack_protector,0x00032870,_IO_default_setbuf,2,2,3,5,20,69,0x0042c00c,_IO_default_setbuf,2,2,3,6,19,69,0.95,19,20,48,0.6956521739130435,0
opt_stack_protector,0x00033df4,_IO_default_showmanyc,0,0,0,0,2,2,0x0042d99c,_IO_default_showmanyc,0,0,0,0,2,2,1.0,2,2,2,1.0,0
opt_stack_protector,0x00033ddc,_IO_default_stat,0,0,2,0,2,2,0x0042d984,_IO_default_stat,0,0,2,0,2,2,1.0,2,2,2,1.0,0
opt_stack_protector,0x00032cf8,_IO_default_sync,0,0,1,0,2,2,0x0042c564,_IO_default_sync,0,0,1,0,2,2,1.0,2,2,2,1.0,0
opt_stack_protector,0x00032614,_IO_default_uflow,0,1,1,2,16,25,0x0042bc24,_IO_default_uflow,0,1,1,2,16,25,1.0,16,16,24,0.96,0
opt_stack_protector,0x0003260c,_IO_default_underflow,0,0,1,0,2,2,0x0042bc1c,_IO_default_underflow,0,0,1,0,2,2,1.0,2,2,2,1.0,0
