Group,Category,Function
Common,Other,decompose_rpath
Common,Other,__fstat64_time64
Common,Other,check_match
Common,Other,__mpn_rshift
Common,Other,__clock_nanosleep_time64
Common,Other,__brk
Common,Other,_int_realloc
Common,Other,aligned_alloc
Common,Other,____strtoul_l_internal
Common,Other,__current_locale_name
Common,Other,tdestroy_recurse
Common,Other,__printf_buffer_as_file_overflow
Common,Other,is_trusted_path_normalize
Common,Other,__fcntl64_nocancel
Common,Other,__tunable_set_val
Common,Other,deregister_tm_clones
Common,Other,find_module_idx
Common,Other,_Unwind_DeleteException
Common,Other,strstr
Common,Other,__get_nprocs_sched
Common,Other,_nl_find_locale
Common,Other,__mpn_lshift
Common,Other,killer_kill
Common,Other,do_release_shlib
Common,Other,__gcc_personality_v0
Common,Other,__wmemmove
Common,Other,main
Common,Other,teardown_connection
Common,Other,search_cache
Common,Other,__tls_pre_init_tp
Common,Other,_int_memalign
Common,Other,__cp_stat64_t64_stat64
Common,Other,__funlockfile
Common,Other,__printf_fp_buffer_1
Common,Other,__posix_memalign
Common,Other,call_fini
Common,Other,_nl_make_l10nflist
Common,Other,_setjmp
Common,Other,trecurse
Common,Other,trecurse_r
Common,Other,__futex_abstimed_wait_cancelable64
Common,Other,printf_positional
Common,Other,_Fork
Common,Other,__tdelete
Common,Other,strrchr
Common,Other,__tsearch
Common,Other,clear_once_control
Common,Other,setlocale
Common,Other,___vsnprintf
Common,Other,_init
Common,Other,__clock_gettime64
Common,Other,__vfprintf_internal
Common,Other,outstring_converted_wide_string
Common,Other,__closedir
Common,Other,__wprintf_fphex_l_buffer
Common,Other,__tfind
Common,Other,__tls_get_addr
Common,Other,__tunables_print
Common,Other,checksum_tcpudp
Common,Other,_nl_cleanup_ctype
Common,Other,__register_printf_type
Common,Other,__wcsmbs_load_conv
Common,Other,opendir_tail
Common,Other,__sched_cpucount
Common,Other,free_derivation
Common,Other,__write_nocancel
Common,Other,__mpn_mul_1
Common,Other,__wunderflow
Common,Other,__stat64
Common,Other,alloc_new_heap
Common,Other,_nl_intern_locale_data
Common,Other,__wcrtomb
Common,Other,__dcgettext
Common,Other,__printf_buffer_flush_to_file
Common,Other,_int_free
Common,Other,__get_phys_pages
Common,Other,__wmempcpy
Common,Other,do_sym
Common,Other,__gettext_free_exp
Common,Other,strchr
Common,Other,_Unwind_GetDataRelBase
Common,Other,check_one_fd
Common,Other,__setsid
Common,Other,__mmap64
Common,Other,__fdopendir
Common,Other,__sched_setscheduler
Common,Other,_nl_find_msg
Common,Other,__stpcpy
Common,Other,do_lookup_x
Common,Other,__opendirat
Common,Other,__register_printf_modifier
Common,Other,__printf_buffer_as_file_commit
Common,Other,__printf_buffer_to_file_switch
Common,Other,memcpy
Common,Other,do_release_all
Common,Other,___asprintf
Common,Other,__getpid
Common,Other,new_do_write
Common,Other,qsort
Common,Other,transcmp
Common,Other,save_for_backup
Common,Other,__stat64_time64
Common,Other,__gettext_extract_plural
Common,Other,__nptl_stack_list_add
Common,Other,__read_nocancel
Common,Other,int_mallinfo
Common,Other,__mpn_sub_n
Common,Other,__printf_buffer_done
Common,Other,__mpn_add_n
Common,Other,__tdestroy
Common,Other,__strtok_r
Common,Other,__printf_fphex_buffer
Common,Other,__thread_gscope_wait
Common,Other,__atomic_wide_counter_fetch_add_relaxed
Common,Other,__clock_nanosleep
Common,Other,__sched_get_priority_max
Common,Other,__fgets_unlocked
Common,Other,__isoc23_strtol_l
Common,Other,__wprintf_buffer_flush_to_file
Common,Other,strcpy
Common,Other,__printf_buffer_flush_snprintf
Common,Other,__wprintf_fp_l_buffer
Common,Other,tcache_init
Common,Other,msort_with_tmp
Common,Other,_Unwind_GetLanguageSpecificData
Common,Other,__kill
Common,Other,__clearenv
Common,Other,add_alias2
Common,Other,__strtol_l
Common,Other,read_encoded_value
Common,Other,rand_next
Common,Other,new_heap
Common,Other,__getdents
Common,Other,__tunable_get_default
Common,Other,__rtld_static_init
Common,Other,__chdir
Common,Other,__correctly_grouped_prefixmb
Common,Other,__mpn_submul_1
Common,Other,__memmem
Common,Other,__strnlen
Common,Other,_Unwind_DebugHook
Common,Other,__vasprintf
Common,Other,__sigsetjmp
Common,Other,rand_alphastr
Common,Other,__argz_add_sep
Common,Other,__ctype_b_loc
Common,Other,__register_atfork
Common,Other,table_unlock_val
Common,Other,__rewinddir
Common,Other,remove_slotinfo
Common,Other,establish_connection
Common,Other,_nl_find_domain
Common,Other,__printf_buffer_putc_1
Common,Other,__strdup
Common,Other,__time64
Common,Other,__new_exitfn
Common,Other,known_compare
Common,Other,__printf_buffer_as_file_xsputn
Common,Other,__mpn_impn_mul_n_basecase
Common,Other,memory_scan_match
Common,Other,__printf_buffer_to_file_init
Common,Other,__printf_buffer_flush_fp
Common,Other,systrim
Common,Other,mmap_remap_check
Common,Other,read_uleb128
Common,Other,add_name_to_object
Common,Other,__parse_one_specmb
Common,Other,__lseek
Common,Other,_Unwind_GetCFA
Common,Other,__getclktck
Common,Other,__chk_fail
Common,Other,__strsep
Common,Other,__opendir
Common,Other,__printf_buffer_flush_fphex_to_wide
Common,Other,__init_sched_fifo_prio
Common,Other,decide_maybe_mmap
Common,Other,_nl_normalize_codeset
Common,Other,__time
Common,Other,__mpn_divrem
Common,Other,add_module
Common,Other,__readonly_area
Common,Other,free_modules_db
Common,Other,__wcsmbs_clone_conv
Common,Other,memcmp
Common,Other,_fitoa_word
Common,Other,__isoc23_strtol
Common,Other,hack_digit
Common,Other,_Unwind_GetGR
Common,Other,__strchrnul
Common,Other,__get_errlist
Common,Other,resolv_domain_to_hostname
Common,Other,__sigjmp_save
Common,Other,sigemptyset
Common,Other,_itoa
Common,Other,__munmap
Common,Other,__readdir64
Common,Other,__tcgetattr
Common,Other,__printf_buffer_snprintf_init
Common,Other,__sched_get_priority_min
Common,Other,_nl_load_domain
Common,Other,__register_printf_specifier
Common,Other,indirect_msort_with_tmp
Common,Other,__unsetenv
Common,Other,_nl_unload_domain
Common,Other,__do_global_dtors_aux
Common,Other,__getdelim
Common,Other,__futex_lock_pi64
Common,Other,__register_printf_function
Common,Other,__fstatat64_time64
Common,Other,__lll_lock_wake
Common,Other,__wcsrtombs
Common,Other,__readdir
Common,Other,__getpagesize
Common,Other,__wuflow
Common,Other,__lstat64
Common,Other,__strtoul_internal
Common,Other,__printf_buffer_puts_1
Common,Other,__printf_buffer_write
Common,Other,__lstat64_time64
Common,Other,__nptl_deallocate_tsd
Common,Other,__cxa_atexit
Common,Other,__fopen_maybe_mmap
Common,Other,_nl_load_locale_from_archive
Common,Other,resolve_cnc_addr
Common,Other,free_category
Common,Other,__tunable_get_val
Common,Other,_Unwind_GetRegionStart
Common,Other,__printf_buffer_flush
Common,Other,__lll_lock_wait_private
Common,Other,find_derivation
Common,Other,killer_init
Common,Other,group_number
Common,Other,next_line
Common,Other,__grouping_iterator_next
Common,Other,open_path
Common,Other,__wprintf_buffer_putc_1
Common,Other,unlock_tbl_if_nodebug
Common,Other,____strtol_l_internal
Common,Other,__sched_getscheduler
Common,Other,__dcigettext
Common,Other,__mprotect
Common,Other,__wcslen
Common,Other,__argz_create_sep
Common,Other,frame_dummy
Common,Other,plural_eval
Common,Other,add_path
Common,Other,__tls_init_tp
Common,Other,__uflow
Common,Other,_nl_load_locale
Common,Other,__memrchr
Common,Other,__alloc_dir
Common,Other,__grouping_iterator_init_none
Common,Other,__prctl
Common,Other,__bsd_signal
Common,Other,atoi
Common,Other,htonl
Common,Other,__intl_freemem
Common,Other,__tunable_is_initialized
Common,Other,__printf_buffer_as_file_init
Common,Other,__nanosleep64
Common,Other,__mpn_impn_mul_n
Common,Other,__nanosleep
Common,Other,__printf_buffer_snprintf_done
Common,Other,__wcsmbs_getfct
