Function,Pcode Similarity,Caller Count,Callee Count,Param Count,CBRANCH Count,Category
_Fork,0.2666666666666666,1,1,0,0,Other
_IO_adjust_column,1.0,1,0,3,0,IO
_IO_adjust_wcolumn,1.0,0,0,3,0,IO
_IO_cleanup,0.9090909090909092,1,11,0,0,IO
_IO_default_doallocate,1.0,0,2,1,0,IO
_IO_default_finish,1.0,2,2,2,0,IO
_IO_default_imbue,1.0,0,0,2,0,IO
_IO_default_pbackfail,1.0,1,4,2,0,IO
_IO_default_read,1.0,0,0,3,0,IO
_IO_default_seek,1.0,0,0,3,0,IO
_IO_default_seekoff,1.0,0,0,4,0,IO
_IO_default_seekpos,1.0,0,1,3,0,IO
_IO_default_setbuf,0.95,2,2,3,0,IO
_IO_default_showmanyc,1.0,0,0,0,0,IO
_IO_default_stat,1.0,0,0,2,0,IO
_IO_default_sync,1.0,0,0,1,0,IO
_IO_default_uflow,1.0,0,1,1,0,IO
_IO_default_underflow,1.0,0,0,1,0,IO
_IO_default_write,1.0,0,0,3,0,IO
_IO_default_xsgetn,1.0,0,2,3,0,IO
_IO_default_xsputn,0.9444444444444444,1,2,3,0,IO
_IO_doallocbuf,1.0,7,2,1,0,IO
_IO_enable_locks,1.0,0,0,0,0,IO
_IO_file_close,1.0,0,1,1,0,IO
_IO_file_close_mmap,1.0,0,2,1,0,IO
_IO_file_doallocate,0.9130434782608696,0,5,1,0,IO
_IO_file_open,0.88,1,6,6,0,IO
_IO_file_read,1.0,0,2,3,0,IO
_IO_file_seek,1.0,0,1,3,0,IO
_IO_file_seekoff_maybe_mmap,1.0,0,1,4,0,IO
_IO_file_seekoff_mmap,0.7586206896551724,0,2,4,0,IO
_IO_file_setbuf_mmap,1.0,0,1,3,0,IO
_IO_file_stat,1.0,0,1,2,0,IO
_IO_file_sync_mmap,0.75,0,1,1,0,IO
_IO_file_underflow_maybe_mmap,1.0,1,2,1,0,IO
_IO_file_underflow_mmap,0.8947368421052632,1,2,1,0,IO
_IO_file_xsgetn,0.8214285714285714,0,7,3,0,IO
_IO_file_xsgetn_maybe_mmap,1.0,0,2,3,0,IO
_IO_file_xsgetn_mmap,0.95,0,4,3,0,IO
_IO_flush_all,0.9047619047619048,1,9,0,0,IO
_IO_flush_all_linebuffered,0.9047619047619048,0,9,0,0,IO
_IO_fputs,0.9090909090909092,2,6,2,0,IO
_IO_free_backup_area,1.0,3,1,1,0,IO
_IO_free_wbackup_area,1.0,5,1,1,0,IO
_IO_fwide,0.8125,4,3,2,0,IO
_IO_fwrite,0.875,1,6,4,0,IO
_IO_getline,1.0,1,1,5,0,IO
_IO_getline_info,0.85,1,4,6,0,IO
_IO_init,0.9166666666666666,0,0,2,0,IO
_IO_init_internal,0.9166666666666666,0,0,2,0,IO
_IO_init_marker,1.0,0,1,2,0,IO
_IO_init_wmarker,0.9285714285714286,0,1,2,0,IO
_IO_iter_begin,1.0,1,0,0,0,IO
_IO_iter_end,1.0,1,0,0,0,IO
_IO_iter_file,0.5,1,0,1,0,IO
_IO_iter_next,1.0,1,0,1,0,IO
_IO_least_marker,0.75,0,0,2,0,IO
_IO_least_wmarker,0.7692307692307693,0,0,2,0,IO
_IO_link_in,0.7083333333333334,3,7,1,0,IO
_IO_list_lock,0.75,1,2,0,0,IO
_IO_list_resetlock,1.0,1,0,0,0,IO
_IO_list_unlock,0.6428571428571429,1,2,0,0,IO
_IO_marker_delta,0.9,0,0,1,0,IO
_IO_marker_difference,1.0,0,0,2,0,IO
_IO_new_do_write,0.6,7,1,3,0,IO
_IO_new_fclose,0.8,3,10,1,0,IO
_IO_new_file_attach,0.782608695652174,0,2,2,0,IO
_IO_new_file_close_it,1.0,2,8,1,0,IO
_IO_new_file_finish,1.0,0,4,2,0,IO
_IO_new_file_fopen,0.8846153846153846,1,11,4,0,IO
_IO_new_file_init,1.0,0,1,1,0,IO
_IO_new_file_init_internal,1.0,1,1,1,0,IO
_IO_new_file_overflow,0.84,4,5,2,0,IO
_IO_new_file_seekoff,0.8235294117647058,0,7,4,0,IO
_IO_new_file_setbuf,0.7,1,1,3,0,IO
_IO_new_file_sync,0.9047619047619048,0,4,1,0,IO
_IO_new_file_underflow,0.8518518518518519,0,9,1,0,IO
