Label,Function,SourceFile,ARM_PcodeLines,MIPS_PcodeLines,Match_Ratio,Notes
1,_init,Unknown,22,59,0.00,P-code行數差異顯著; 低相似度;
2,abort,Unknown,964,7,0.00,P-code行數差異顯著; 低相似度;
3,_dl_start,Unknown,10,7,0.00,P-code行數差異顯著; 低相似度;
4,_Unwind_GetDataRelBase,Unknown,10,7,0.00,P-code行數差異顯著; 低相似度;
5,_Unwind_GetTextRelBase,Unknown,10,7,0.00,P-code行數差異顯著; 低相似度;
6,_IO_stdfiles_init,Unknown,83,7,0.00,P-code行數差異顯著; 低相似度;
7,_start,Unknown,73,7,0.00,P-code行數差異顯著; 低相似度;
8,call_weak_fn,Unknown,42,7,0.00,P-code行數差異顯著; 低相似度;
9,deregister_tm_clones,Unknown,56,7,0.00,P-code行數差異顯著; 低相似度;
10,register_tm_clones,Unknown,89,7,0.00,P-code行數差異顯著; 低相似度;
11,__do_global_dtors_aux,Unknown,102,7,0.00,P-code行數差異顯著; 低相似度;
12,frame_dummy,Unknown,43,7,0.00,P-code行數差異顯著; 低相似度;
13,attack_app_proxy,Unknown,72,7,0.00,P-code行數差異顯著; 低相似度;
14,attack_app_http,Unknown,22992,7,0.00,P-code行數差異顯著; 低相似度;
15,attack_app_cfnull,Unknown,9984,7,0.00,P-code行數差異顯著; 低相似度;
16,attack_gre_ip,Unknown,2899,7,0.00,P-code行數差異顯著; 低相似度;
17,attack_gre_eth,Unknown,3268,7,0.00,P-code行數差異顯著; 低相似度;
18,attack_init,Unknown,227,7,0.00,P-code行數差異顯著; 低相似度;
19,attack_kill_all,Unknown,200,7,0.00,P-code行數差異顯著; 低相似度;
20,attack_parse,Unknown,1434,7,0.00,P-code行數差異顯著; 低相似度;
21,attack_start,Unknown,438,7,0.00,P-code行數差異顯著; 低相似度;
22,attack_get_opt_str,Unknown,208,27,0.00,P-code行數差異顯著; 低相似度;
23,attack_get_opt_int,Unknown,157,545,0.00,P-code行數差異顯著; 低相似度;
24,attack_get_opt_ip,Unknown,144,177,0.00,P-code行數差異顯著; 低相似度;
25,add_attack,Unknown,239,137,0.00,P-code行數差異顯著; 低相似度;
26,free_opts,Unknown,231,98,0.00,P-code行數差異顯著; 低相似度;
27,attack_tcp_syn,Unknown,3470,47,0.00,P-code行數差異顯著; 低相似度;
28,attack_tcp_ack,Unknown,3144,67,0.00,P-code行數差異顯著; 低相似度;
29,attack_tcp_stomp,Unknown,4034,36,0.00,P-code行數差異顯著; 低相似度;
30,attack_udp_generic,Unknown,2079,46,0.00,P-code行數差異顯著; 低相似度;
31,attack_udp_vse,Unknown,2021,77,0.00,P-code行數差異顯著; 低相似度;
32,attack_udp_dns,Unknown,2608,37,0.00,P-code行數差異顯著; 低相似度;
33,attack_udp_plain,Unknown,1353,53,0.00,P-code行數差異顯著; 低相似度;
34,get_dns_resolver,Unknown,1049,10391,0.00,P-code行數差異顯著; 低相似度;
35,checksum_generic,Unknown,314,3958,0.00,P-code行數差異顯著; 低相似度;
36,checksum_tcpudp,Unknown,568,1977,0.00,P-code行數差異顯著; 低相似度;
37,killer_init,Unknown,2287,2170,0.00,低相似度;
38,killer_kill,Unknown,57,138,0.00,P-code行數差異顯著; 低相似度;
39,killer_kill_by_port,Unknown,4309,142,0.00,P-code行數差異顯著; 低相似度;
40,has_exe_access,Unknown,698,1042,0.00,P-code行數差異顯著; 低相似度;
41,memory_scan_match,Unknown,1265,318,0.00,P-code行數差異顯著; 低相似度;
42,mem_exists,Unknown,294,154,0.00,P-code行數差異顯著; 低相似度;
43,main,Unknown,4794,123,0.00,P-code行數差異顯著; 低相似度;
44,anti_gdb_entry,Unknown,64,121,0.00,P-code行數差異顯著; 低相似度;
45,resolve_cnc_addr,Unknown,291,174,0.00,P-code行數差異顯著; 低相似度;
46,establish_connection,Unknown,287,162,0.00,P-code行數差異顯著; 低相似度;
47,teardown_connection,Unknown,102,2182,0.00,P-code行數差異顯著; 低相似度;
48,ensure_single_instance,Unknown,665,2044,0.00,P-code行數差異顯著; 低相似度;
49,unlock_tbl_if_nodebug,Unknown,953,2541,0.00,P-code行數差異顯著; 低相似度;
50,rand_init,Unknown,125,1463,0.00,P-code行數差異顯著; 低相似度;
51,rand_next,Unknown,204,1367,0.00,P-code行數差異顯著; 低相似度;
52,rand_str,Unknown,328,1782,0.00,P-code行數差異顯著; 低相似度;
53,rand_alphastr,Unknown,477,884,0.00,P-code行數差異顯著; 低相似度;
54,resolv_domain_to_hostname,Unknown,369,513,0.00,P-code行數差異顯著; 低相似度;
55,resolv_skip_name,Unknown,376,146,0.00,P-code行數差異顯著; 低相似度;
56,resolv_lookup,Unknown,3331,416,0.00,P-code行數差異顯著; 低相似度;
57,resolv_entries_free,Unknown,129,1052,0.00,P-code行數差異顯著; 低相似度;
58,table_init,Unknown,1584,52,0.00,P-code行數差異顯著; 低相似度;
59,table_unlock_val,Unknown,102,1596,0.00,P-code行數差異顯著; 低相似度;
60,table_lock_val,Unknown,102,294,0.00,P-code行數差異顯著; 低相似度;
61,table_retrieve_val,Unknown,129,416,0.00,P-code行數差異顯著; 低相似度;
62,add_entry,Unknown,176,174,0.00,低相似度;
63,toggle_obf,Unknown,477,2079,0.00,P-code行數差異顯著; 低相似度;
64,util_strlen,Unknown,140,43,0.00,P-code行數差異顯著; 低相似度;
65,util_strncmp,Unknown,268,194,0.00,P-code行數差異顯著; 低相似度;
66,util_strcmp,Unknown,244,179,0.00,P-code行數差異顯著; 低相似度;
67,util_strcpy,Unknown,105,79,0.00,P-code行數差異顯著; 低相似度;
68,util_memcpy,Unknown,164,375,0.00,P-code行數差異顯著; 低相似度;
69,util_zero,Unknown,145,514,0.00,P-code行數差異顯著; 低相似度;
70,util_atoi,Unknown,914,120,0.00,P-code行數差異顯著; 低相似度;
71,util_itoa,Unknown,627,179,0.00,P-code行數差異顯著; 低相似度;
72,util_memsearch,Unknown,309,220,0.00,P-code行數差異顯著; 低相似度;
73,util_stristr,Unknown,476,277,0.00,P-code行數差異顯著; 低相似度;
74,util_local_addr,Unknown,308,253,0.00,低相似度;
75,util_fdgets,Unknown,318,254,0.00,P-code行數差異顯著; 低相似度;
76,util_isupper,Unknown,138,1457,0.00,P-code行數差異顯著; 低相似度;
77,util_isalpha,Unknown,188,98,0.00,P-code行數差異顯著; 低相似度;
78,util_isspace,Unknown,181,637,0.00,P-code行數差異顯著; 低相似度;
79,util_isdigit,Unknown,138,77,0.00,P-code行數差異顯著; 低相似度;
80,__udivsi3,Unknown,449,77,0.00,P-code行數差異顯著; 低相似度;
81,__aeabi_uidivmod,Unknown,57,102,0.00,P-code行數差異顯著; 低相似度;
82,__divsi3,Unknown,72,142,0.00,P-code行數差異顯著; 低相似度;
83,.divsi3_skip_div0_test,Unknown,560,406,0.00,P-code行數差異顯著; 低相似度;
84,__aeabi_idivmod,Unknown,57,81,0.00,P-code行數差異顯著; 低相似度;
85,__aeabi_ldiv0,Unknown,35,187,0.00,P-code行數差異顯著; 低相似度;
86,call_fini,Unknown,98,161,0.00,P-code行數差異顯著; 低相似度;
87,__libc_start_call_main,Unknown,231,89,0.00,P-code行數差異顯著; 低相似度;
88,__libc_start_main_impl,Unknown,876,123,0.00,P-code行數差異顯著; 低相似度;
89,__libc_setup_tls,Unknown,1118,87,0.00,P-code行數差異顯著; 低相似度;
90,__tls_get_addr,Unknown,33,606,0.00,P-code行數差異顯著; 低相似度;
91,__errno_location,Unknown,28,392,0.00,P-code行數差異顯著; 低相似度;
92,__aeabi_read_tp,Unknown,33,202,0.00,P-code行數差異顯著; 低相似度;
93,_setjmp,Unknown,15,331,0.00,P-code行數差異顯著; 低相似度;
94,__bsd_signal,Unknown,476,160,0.00,P-code行數差異顯著; 低相似度;
95,raise,Unknown,78,202,0.00,P-code行數差異顯著; 低相似度;
96,__sigaction,Unknown,120,68,0.00,P-code行數差異顯著; 低相似度;
97,__libc_sigaction,Unknown,580,96,0.00,P-code行數差異顯著; 低相似度;
98,__sigprocmask,Unknown,71,88,0.00,P-code行數差異顯著; 低相似度;
99,__kill,Unknown,50,68,0.00,P-code行數差異顯著; 低相似度;
100,sigemptyset,Unknown,98,109,0.00,低相似度;
101,sigaddset,Unknown,230,206,0.00,低相似度;
102,__default_sa_restorer,Unknown,19,550,0.00,P-code行數差異顯著; 低相似度;
103,__default_rt_sa_restorer,Unknown,15,759,0.00,P-code行數差異顯著; 低相似度;
104,atoi,Unknown,28,31,0.00,低相似度;
105,__new_exitfn,Unknown,535,4,0.00,P-code行數差異顯著; 低相似度;
106,__internal_atexit,Unknown,552,25,0.00,P-code行數差異顯著; 低相似度;
107,__cxa_atexit,Unknown,12,21,0.00,P-code行數差異顯著; 低相似度;
108,__run_exit_handlers,Unknown,1476,4,0.00,P-code行數差異顯著; 低相似度;
109,exit,Unknown,35,189,0.00,P-code行數差異顯著; 低相似度;
110,__strtol_internal,Unknown,89,4,0.00,P-code行數差異顯著; 低相似度;
111,__strtol,Unknown,85,104,0.00,P-code行數差異顯著; 低相似度;
112,__isoc23_strtol,Unknown,102,59,0.00,P-code行數差異顯著; 低相似度;
113,____strtol_l_internal,Unknown,2874,314,0.00,P-code行數差異顯著; 低相似度;
