Label,Function,SourceFile,ARM_PcodeLines,MIPS_PcodeLines,Match_Ratio,Notes
1,_init,Unknown,1,1,100.00,高相似度;
2,abort,Unknown,1,1,100.00,高相似度;
3,_dl_start,Unknown,1,1,100.00,高相似度;
4,_Unwind_GetDataRelBase,Unknown,1,1,100.00,高相似度;
5,_Unwind_GetTextRelBase,Unknown,1,1,100.00,高相似度;
6,_IO_stdfiles_init,Unknown,1,1,100.00,高相似度;
7,_start,Unknown,1,1,100.00,高相似度;
8,call_weak_fn,Unknown,1,1,100.00,高相似度;
9,deregister_tm_clones,Unknown,1,1,100.00,高相似度;
10,register_tm_clones,Unknown,1,1,100.00,高相似度;
11,__do_global_dtors_aux,Unknown,1,1,100.00,高相似度;
12,frame_dummy,Unknown,1,1,100.00,高相似度;
13,attack_app_proxy,Unknown,1,1,100.00,高相似度;
14,attack_app_http,Unknown,1,1,100.00,高相似度;
15,attack_app_cfnull,Unknown,1,1,100.00,高相似度;
16,attack_gre_ip,Unknown,1,1,100.00,高相似度;
17,attack_gre_eth,Unknown,1,1,100.00,高相似度;
18,attack_init,Unknown,1,1,100.00,高相似度;
19,attack_kill_all,Unknown,1,1,100.00,高相似度;
20,attack_parse,Unknown,1,1,100.00,高相似度;
21,attack_start,Unknown,1,1,100.00,高相似度;
22,attack_get_opt_str,Unknown,1,1,100.00,高相似度;
23,attack_get_opt_int,Unknown,1,1,100.00,高相似度;
24,attack_get_opt_ip,Unknown,1,1,100.00,高相似度;
25,add_attack,Unknown,1,1,100.00,高相似度;
26,free_opts,Unknown,1,1,100.00,高相似度;
27,attack_tcp_syn,Unknown,1,1,100.00,高相似度;
28,attack_tcp_ack,Unknown,1,1,100.00,高相似度;
29,attack_tcp_stomp,Unknown,1,1,100.00,高相似度;
30,attack_udp_generic,Unknown,1,1,100.00,高相似度;
31,attack_udp_vse,Unknown,1,1,100.00,高相似度;
32,attack_udp_dns,Unknown,1,1,100.00,高相似度;
33,attack_udp_plain,Unknown,1,1,100.00,高相似度;
34,get_dns_resolver,Unknown,1,1,100.00,高相似度;
35,checksum_generic,Unknown,1,1,100.00,高相似度;
36,checksum_tcpudp,Unknown,1,1,100.00,高相似度;
37,killer_init,Unknown,1,1,100.00,高相似度;
38,killer_kill,Unknown,1,1,100.00,高相似度;
39,killer_kill_by_port,Unknown,1,1,100.00,高相似度;
40,has_exe_access,Unknown,1,1,100.00,高相似度;
41,memory_scan_match,Unknown,1,1,100.00,高相似度;
42,mem_exists,Unknown,1,1,100.00,高相似度;
43,main,Unknown,1,1,100.00,高相似度;
44,anti_gdb_entry,Unknown,1,1,100.00,高相似度;
45,resolve_cnc_addr,Unknown,1,1,100.00,高相似度;
46,establish_connection,Unknown,1,1,100.00,高相似度;
47,teardown_connection,Unknown,1,1,100.00,高相似度;
48,ensure_single_instance,Unknown,1,1,100.00,高相似度;
49,unlock_tbl_if_nodebug,Unknown,1,1,100.00,高相似度;
50,rand_init,Unknown,1,1,100.00,高相似度;
51,rand_next,Unknown,1,1,100.00,高相似度;
52,rand_str,Unknown,1,1,100.00,高相似度;
53,rand_alphastr,Unknown,1,1,100.00,高相似度;
54,resolv_domain_to_hostname,Unknown,1,1,100.00,高相似度;
55,resolv_skip_name,Unknown,1,1,100.00,高相似度;
56,resolv_lookup,Unknown,1,1,100.00,高相似度;
57,resolv_entries_free,Unknown,1,1,100.00,高相似度;
58,table_init,Unknown,1,1,100.00,高相似度;
59,table_unlock_val,Unknown,1,1,100.00,高相似度;
60,table_lock_val,Unknown,1,1,100.00,高相似度;
61,table_retrieve_val,Unknown,1,1,100.00,高相似度;
62,add_entry,Unknown,1,1,100.00,高相似度;
63,toggle_obf,Unknown,1,1,100.00,高相似度;
64,util_strlen,Unknown,1,1,100.00,高相似度;
65,util_strncmp,Unknown,1,1,100.00,高相似度;
66,util_strcmp,Unknown,1,1,100.00,高相似度;
67,util_strcpy,Unknown,1,1,100.00,高相似度;
68,util_memcpy,Unknown,1,1,100.00,高相似度;
69,util_zero,Unknown,1,1,100.00,高相似度;
70,util_atoi,Unknown,1,1,100.00,高相似度;
71,util_itoa,Unknown,1,1,100.00,高相似度;
72,util_memsearch,Unknown,1,1,100.00,高相似度;
73,util_stristr,Unknown,1,1,100.00,高相似度;
74,util_local_addr,Unknown,1,1,100.00,高相似度;
75,util_fdgets,Unknown,1,1,100.00,高相似度;
