Label,Function,SourceFile,ARM_PcodeLines,MIPS_PcodeLines,Match_Ratio,Notes
652,__hash_string,Unknown,29,2437,0.86,P-code行數差異顯著; 低相似度
455,__pthread_mutex_unlock_full,Unknown,867,126,2.84,P-code行數差異顯著; 低相似度
302,_dl_early_allocate,Unknown,26,63,28.58,P-code行數差異顯著; 低相似度
909,__get_child_max,Unknown,9,61,14.86,P-code行數差異顯著; 低相似度
929,__aeabi_dcmpeq,Unknown,2,30,6.17,P-code行數差異顯著; 低相似度
505,trecurse_r,Unknown,36,472,5.04,P-code行數差異顯著; 低相似度
1030,__gnu_unwind_frame,Unknown,22,28,23.71,P-code行數差異顯著; 低相似度
447,__libc_cleanup_push_defer,Unknown,31,81,19.20,P-code行數差異顯著; 低相似度
189,memmove,Unknown,1173,140,1.77,P-code行數差異顯著; 低相似度
297,__tunable_set_val,Unknown,8,273,3.38,P-code行數差異顯著; 低相似度
936,__sync_fetch_and_sub_4,Unknown,11,1047,0.44,P-code行數差異顯著; 低相似度
939,__sync_fetch_and_xor_4,Unknown,11,505,2.08,P-code行數差異顯著; 低相似度
604,__gconv_transform_ascii_internal,Unknown,893,165,6.98,P-code行數差異顯著; 低相似度
776,__strtok_r,Unknown,45,54,17.26,低相似度
486,__getdents,Unknown,127,176,6.35,P-code行數差異顯著; 低相似度
914,openaux,Unknown,31,6275,0.45,P-code行數差異顯著; 低相似度
723,_IO_sungetwc,Unknown,53,35,24.11,P-code行數差異顯著; 低相似度
293,__tls_init_tp,Unknown,233,44,7.12,P-code行數差異顯著; 低相似度
453,__pthread_mutex_lock_full,Unknown,24,34,13.30,P-code行數差異顯著; 低相似度
775,__strsep,Unknown,16,56,20.01,P-code行數差異顯著; 低相似度
345,_IO_vtable_check,Unknown,22,8,22.08,P-code行數差異顯著; 低相似度
421,_IO_default_pbackfail,Unknown,106,7,7.17,P-code行數差異顯著; 低相似度
393,_IO_default_uflow,Unknown,39,188,19.08,P-code行數差異顯著; 低相似度
555,_dl_debug_vdprintf,Unknown,676,47,1.73,P-code行數差異顯著; 低相似度
659,___asprintf,Unknown,8,1718,0.35,P-code行數差異顯著; 低相似度
1037,read_encoded_value,Unknown,3,40,6.69,P-code行數差異顯著; 低相似度
408,_IO_sputbackc,Unknown,60,808,8.37,P-code行數差異顯著; 低相似度
969,__sync_xor_and_fetch_1,Unknown,27,360,0.95,P-code行數差異顯著; 低相似度
109,exit,Unknown,8,79,9.39,P-code行數差異顯著; 低相似度
952,__sync_fetch_and_nand_1,Unknown,27,136,7.64,P-code行數差異顯著; 低相似度
499,__pread64_nocancel,Unknown,21,59,27.89,P-code行數差異顯著; 低相似度
880,_dlfo_sort_mappings,Unknown,5,28,17.53,P-code行數差異顯著; 低相似度
605,__gconv_transform_internal_ascii,Unknown,5254,110,1.25,P-code行數差異顯著; 低相似度
549,_dl_name_match_p,Unknown,22,35,29.34,P-code行數差異顯著; 低相似度
697,__wprintf_buffer_to_file_done,Unknown,11,17,26.77,P-code行數差異顯著; 低相似度
29,attack_tcp_stomp,Unknown,2252,1,0.04,P-code行數差異顯著; 低相似度
374,_IO_new_file_xsputn,Unknown,188,10,8.67,P-code行數差異顯著; 低相似度
573,search_cache,Unknown,135,75,15.94,P-code行數差異顯著; 低相似度
670,__printf_buffer_to_file_init,Unknown,35,867,3.92,P-code行數差異顯著; 低相似度
781,__wmemmove,Unknown,4,67,2.09,P-code行數差異顯著; 低相似度
871,dfs_traversal,Unknown,71,2735,3.69,P-code行數差異顯著; 低相似度
862,add_to_global_update,Unknown,289,107,12.27,P-code行數差異顯著; 低相似度
570,__thread_gscope_wait,Unknown,286,46,8.31,P-code行數差異顯著; 低相似度
323,__clearenv,Unknown,149,21,3.44,P-code行數差異顯著; 低相似度
476,two_way_long_needle,Unknown,390,2,0.78,P-code行數差異顯著; 低相似度
701,__fopen_maybe_mmap,Unknown,45,47,19.36,低相似度
203,__readdir_unlocked,Unknown,101,45,15.23,P-code行數差異顯著; 低相似度
972,__sync_val_compare_and_swap_2,Unknown,38,391,1.88,P-code行數差異顯著; 低相似度
578,__gconv_alias_compare,Unknown,4,395,2.13,P-code行數差異顯著; 低相似度
1034,read_sleb128,Unknown,29,23,15.94,P-code行數差異顯著; 低相似度
529,is_trusted_path_normalize,Unknown,170,281,16.39,P-code行數差異顯著; 低相似度
