Label,Function,SourceFile,Architecture
1,.pic.__deregister_frame_info,Unknown,mips
2,.pic.__errno_location,Unknown,mips
3,.pic.__register_frame_info,Unknown,mips
4,.pic.accept,Unknown,mips
5,.pic.atoi,Unknown,mips
6,.pic.bind,Unknown,mips
7,.pic.calloc,Unknown,mips
8,.pic.chdir,Unknown,mips
9,.pic.clock,Unknown,mips
10,.pic.close,Unknown,mips
11,.pic.closedir,Unknown,mips
12,.pic.connect,Unknown,mips
13,.pic.exit,Unknown,mips
14,.pic.fcntl,Unknown,mips
15,.pic.fork,Unknown,mips
16,.pic.free,Unknown,mips
17,.pic.getpid,Unknown,mips
18,.pic.getppid,Unknown,mips
19,.pic.getsockname,Unknown,mips
20,.pic.getsockopt,Unknown,mips
21,.pic.inet_addr,Unknown,mips
22,.pic.ioctl,Unknown,mips
23,.pic.kill,Unknown,mips
24,.pic.listen,Unknown,mips
25,.pic.malloc,Unknown,mips
26,.pic.memcpy,Unknown,mips
27,.pic.memmove,Unknown,mips
28,.pic.memset,Unknown,mips
29,.pic.ntohl,Unknown,mips
30,.pic.ntohs,Unknown,mips
31,.pic.open,Unknown,mips
32,.pic.opendir,Unknown,mips
33,.pic.prctl,Unknown,mips
34,.pic.raise,Unknown,mips
35,.pic.read,Unknown,mips
36,.pic.readdir,Unknown,mips
37,.pic.readlink,Unknown,mips
38,.pic.realloc,Unknown,mips
39,.pic.recv,Unknown,mips
40,.pic.recvfrom,Unknown,mips
41,.pic.select,Unknown,mips
42,.pic.send,Unknown,mips
43,.pic.sendto,Unknown,mips
44,.pic.setsid,Unknown,mips
45,.pic.setsockopt,Unknown,mips
46,.pic.sigaddset,Unknown,mips
47,.pic.sigemptyset,Unknown,mips
48,.pic.signal,Unknown,mips
49,.pic.sigprocmask,Unknown,mips
50,.pic.sleep,Unknown,mips
51,.pic.socket,Unknown,mips
52,.pic.time,Unknown,mips
53,.pic.unlink,Unknown,mips
54,.pic.write,Unknown,mips
55,_Fork,Unknown,mips
56,_IO_adjust_column,Unknown,mips
57,_IO_adjust_wcolumn,Unknown,mips
