Function,Arm_Label,Mips_Label,Jaccard_Similarity
__tsearch,1413617468,1413617468,0.008064516129032258
exit,3127582,3127582,0.07142857142857142
_IO_wdefault_pbackfail,1336943002,1336943002,0.0
__gconv_transform_internal_ascii,727512058,727512058,0.0
util_local_addr,184619170,184619170,0.011363636363636364
__fdopendir,1141789605,1141789605,0.0
killer_kill,1952361106,1952361106,0.125
__current_locale_name,1093231530,1093231530,0.0
_IO_wfile_overflow,1805201928,1805201928,0.0018315018315018315
_dl_addr,198015991,198015991,0.007541478129713424
__printf_buffer_to_file_init,14703816,14703816,0.014492753623188406
__ctype_toupper_loc,1531709190,1531709190,0.0
___vsnprintf,1161960011,1161960011,0.0
_IO_new_file_finish,815078883,815078883,0.007751937984496124
register_tm_clones,994159776,994159776,0.05555555555555555
_dl_unload_cache,539149914,539149914,0.02631578947368421
_IO_marker_difference,1907245464,1907245464,0.0
call_fini,1046479105,1046479105,0.0
__wprintf_buffer_to_file_init,1256211777,1256211777,0.01818181818181818
__strtol_internal,761473348,761473348,0.0
_IO_wsetb,1601804739,1601804739,0.017543859649122806
__lstat64_time64,504231412,504231412,0.0
strspn,891976224,891976224,0.0
__libc_calloc,1638476365,1638476365,0.0014104372355430183
do_sym,1326596845,1326596845,0.007894736842105263
_IO_default_showmanyc,167951217,167951217,0.0
__readdir,765815977,765815977,0.0
__sysinfo,711052571,711052571,0.0
_nl_unload_domain,1234746462,1234746462,0.005917159763313609
__fstatat64_time64,1022856191,1022856191,0.0
__tls_pre_init_tp,291729739,291729739,0.010752688172043012
__argz_add_sep,967001275,967001275,0.0
__get_errlist,166873018,166873018,0.0
__libc_malloc,1352184855,1352184855,0.0008163265306122449
_dl_tunable_set_mutex_spin_count,1083478079,1083478079,0.0625
opendir_tail,1630309108,1630309108,0.0
__handle_registered_modifier_mb,763214295,763214295,0.008438818565400843
indirect_msort_with_tmp,2136654691,2136654691,0.005263157894736842
free_category,1662234255,1662234255,0.004545454545454545
_dl_tunable_set_hugetlb,1910357266,1910357266,0.02564102564102564
_dl_check_all_versions,1394521240,1394521240,0.0
__gconv_get_modules_db,214354243,214354243,0.0
_dl_find_object_init,1433357150,1433357150,0.00315955766192733
_IO_default_xsputn,1878897202,1878897202,0.0
__printf_buffer_flush_fphex_to_wide,2037040587,2037040587,0.009615384615384616
expand_dynamic_string_token,2037929168,2037929168,0.007874015748031496
__memrchr,896868752,896868752,0.0
attack_udp_plain,389014891,389014891,0.002347417840375587
__snprintf,682529452,682529452,0.0
_IO_file_xsgetn_maybe_mmap,2013095575,2013095575,0.0
_dl_runtime_resolve,1894398317,1894398317,0.0625
_dl_add_to_slotinfo,1292297018,1292297018,0.005479452054794521
__wmemchr,390270449,390270449,0.0
__pthread_kill_internal,406893977,406893977,0.0
_exit,90862077,90862077,0.0
__libc_dlopen_mode,145572495,145572495,0.01282051282051282
__pthread_self,616449489,616449489,0.0
__fopen_maybe_mmap,1843818261,1843818261,0.0
_dl_allocate_tls_init,1586579586,1586579586,0.0
_IO_str_underflow,652200574,652200574,0.0
__isoc23_strtol_l,1969717619,1969717619,0.0
__libio_codecvt_out,866324945,866324945,0.0
__gcc_personality_v0,1720536579,1720536579,0.008310249307479225
__brk,90662459,90662459,0.0
__printf_buffer_flush_fp,1748133890,1748133890,0.005847953216374269
__libc_dlerror_result_free,1042810542,1042810542,0.007751937984496124
_dl_load_cache_lookup,239195528,239195528,0.0
__fcntl64_nocancel_adjusted,1502947174,1502947174,0.0
do_dlvsym,1201387853,1201387853,0.02127659574468085
__sbrk,1483939672,1483939672,0.0
deregister_tm_clones,625870111,625870111,0.07692307692307693
_IO_enable_locks,976961318,976961318,0.015384615384615385
__get_avphys_pages,511970421,511970421,0.0
__clock_nanosleep_time64,379785896,379785896,0.0
__woverflow,209674855,209674855,0.0
__grouping_iterator_init,10353637,10353637,0.0
__unregister_atfork,263625480,263625480,0.005555555555555556
_IO_file_read,5906305,5906305,0.0
__lseek64,1391333694,1391333694,0.03773584905660377
__gconv_transform_internal_ucs2reverse,1977394698,1977394698,0.0
__printf_buffer_flush_snprintf,1247242840,1247242840,0.008849557522123894
__printf_buffer_as_file_overflow,1705525553,1705525553,0.0
__libc_setenv_freemem,48379658,48379658,0.02040816326530612
next_line,1216986560,1216986560,0.0035714285714285713
__rewinddir,987687442,987687442,0.008771929824561403
clock,94755854,94755854,0.0
remove_slotinfo,887771897,887771897,0.0
