file_name,CPU,label,Avg_ARITHMETIC,Avg_BITFIELD,Avg_BOOLEAN,Avg_BRANCHING,Avg_CFG_EDGES,Avg_CFG_EDGE_TO_NODE_RATIO,Avg_CFG_NODES,Avg_DATA_MOVING,Avg_EXTENSION,Avg_FLOATING_POINT,Avg_FLOATING_POINT_COMPARE,Avg_FLOATING_POINT_CONVERSION,Avg_FUNCTION_IN_DEGREE,Avg_FUNCTION_OUT_DEGREE,Avg_INTEGER_COMPARISON,Avg_LOGICAL,Avg_MANAGED,Avg_MISC,Avg_TOTAL_OPS,Avg_UNRECOGNIZED_OPS,Total_ARITHMETIC,Total_BITFIELD,Total_BOOLEAN,Total_BRANCHING,Total_CFG_EDGES,Total_CFG_EDGE_TO_NODE_RATIO,Total_CFG_NODES,Total_DATA_MOVING,Total_EXTENSION,Total_FLOATING_POINT,Total_FLOATING_POINT_COMPARE,Total_FLOATING_POINT_CONVERSION,Total_FUNCTION_IN_DEGREE,Total_FUNCTION_OUT_DEGREE,Total_INTEGER_COMPARISON,Total_LOGICAL,Total_MANAGED,Total_MISC,Total_TOTAL_OPS,Total_UNRECOGNIZED_OPS,Total_functions
aacf1d6d908bc6d6ce78e06fb812a9c3b138ee0f7b8414c6d9aa17ab4fbf5463,ARM,Benignware,3,0,0,2.6,2.2,0.275,2.8,3,3.2,0,0,0,0.4,0.4,1.4,0.4,0,0,13.6,0,15,0,0,13,11,1.375,14,15,16,0,0,0,2,2,7,2,0,0,68,0,5
d7894741d1f5ae174bbf5c3a04eac785826b5ea43d3d756819a7ac36ce7907f3,MIPS R3000,Benignware,8.285714285714286,0,0,7.714285714285714,8.857142857142858,0.21602787456445993,7,7.714285714285714,10.714285714285714,0,0,0,0.5714285714285714,0.5714285714285714,3.857142857142857,0.7142857142857143,0,0,39,0,58,0,0,54,62,1.5121951219512195,49,54,75,0,0,0,4,4,27,5,0,0,273,0,7
aa9d7dd68e5267607e538e14d28051bc26940158194ad4208328ee2855c8cf8f,MIPS R3000,Benignware,0.2,0,0,1.6,0,0.0,1,0.2,0,0,0,0,0.6,0.6,0,0,0,0,2,0,1,0,0,8,0,0.0,5,1,0,0,0,0,3,3,0,0,0,0,10,0,5
aa4ae076319d291ac9627b7a5323f7a534b294e9b1239a8275c962cd50b79482,Intel 80386,Benignware,0.6666666666666666,0,0,2.8181818181818183,1.696969696969697,0.37916666666666665,1.9393939393939394,1.7878787878787878,0.8484848484848485,0,0,0,1,1,0.21212121212121213,0.09090909090909091,0,0,6.424242424242424,0,22,0,0,93,56,12.5125,64,59,28,0,0,0,33,33,7,3,0,0,212,0,33
81b39b98588e42fe9f22ea30a35f43af1237909fa652fa2291e63f65adce0b36,ARM,Benignware,2.3666666666666667,0,0,7.533333333333333,7.333333333333333,0.3445138888888889,5.866666666666666,13.433333333333334,4.233333333333333,0,0,0,1.3333333333333333,1.3333333333333333,2.2,0.2,0,0,29.966666666666665,0,71,0,0,226,220,10.335416666666667,176,403,127,0,0,0,40,40,66,6,0,0,899,0,30
d7762a541c52c4c170140e40a3d80ab6e30c5acf6df33640d92ccd6182511943,ARM,Benignware,5.72093023255814,0,0.2558139534883721,5.255813953488372,6.395348837209302,0.49225895882273935,5.186046511627907,20.46511627906977,6.906976744186046,0,0,0,1.255813953488372,1.255813953488372,1.813953488372093,0.7906976744186046,0,0,41.2093023255814,0,246,0,11,226,275,21.16713522937779,223,880,297,0,0,0,54,54,78,34,0,0,1772,0,43
aa8cac294d918c79626047b0b02cf9064b180a0dfb3320cc79053b7f5062f95f,ARM,Benignware,9.857142857142858,0,0,7.514285714285714,9.542857142857143,0.6225380325380325,6.771428571428571,14.685714285714285,9.371428571428572,0,0,0,1.457142857142857,1.457142857142857,3.657142857142857,1.542857142857143,0,0,46.628571428571426,0,345,0,0,263,334,21.78883113883114,237,514,328,0,0,0,51,51,128,54,0,0,1632,0,35
814389faaa8b7bf5891fe34a4697e7197ac4ce5843a14fbdca0a4671c7b5814a,ARM,Benignware,1.288888888888889,0,0,5.2,4.555555555555555,0.47873829873829876,3.6,6.155555555555556,1.8222222222222222,0,0,0,1.4666666666666666,1.4666666666666666,0.7333333333333333,0,0,0,15.2,0,58,0,0,234,205,21.543223443223443,162,277,82,0,0,0,66,66,33,0,0,0,684,0,45
aa11c81493f1fe764607ca459d6beebfca51f68522a38951948f8776337640f3,MIPS R3000,Benignware,8.4,0,0,12.733333333333333,19.833333333333332,1.4844430715483348,11.2,24.366666666666667,9.333333333333334,0,0,0,1.2333333333333334,1.2333333333333334,0.6,0,0,0,55.43333333333333,0,252,0,0,382,595,44.53329214645004,336,731,280,0,0,0,37,37,18,0,0,0,1663,0,30
d7eca708a421e76b4db6d8e12f8324767608c57326e177b4d3cb213b31898239,ARM,Benignware,9.421052631578947,0,0.2807017543859649,11,12.666666666666666,0.7492217775112512,9.052631578947368,22.614035087719298,11.035087719298245,0,0,0,1.8245614035087718,1.8245614035087718,5.543859649122807,1.1578947368421053,0,0,61.05263157894737,0,537,0,16,627,722,42.70564131814132,516,1289,629,0,0,0,104,104,316,66,0,0,3480,0,57
81bd797f389f8a2ac64ca41ed0d4770fcd471f1e4b25e3a9ca86d52dd07bc70d,ARM,Benignware,7.756521739130434,0,0.08695652173913043,6.026086956521739,7.895652173913043,0.5497143050149732,6.234782608695652,10.043478260869565,6.521739130434782,0,0,0,1.3652173913043477,1.3652173913043477,2.121739130434783,0.6521739130434783,0,0,33.208695652173915,0,892,0,10,693,908,63.21714507672191,717,1155,750,0,0,0,157,157,244,75,0,0,3819,0,115
815b34297528bdc264a2c27589029be122c91bcfc3dd47026ec6f9e0fd08430b,Intel 80386,Benignware,5.193396226415095,0,0.02830188679245283,4.471698113207547,5.466981132075472,0.3409777520777346,5.136792452830188,18.471698113207548,10.429245283018869,0,0,0,1.4481132075471699,1.4481132075471699,0.7735849056603774,0.07075471698113207,0,0,39.43867924528302,0,1101,0,6,948,1159,72.28728344047974,1089,3916,2211,0,0,0,307,307,164,15,0,0,8361,0,212
