,Benign,Other_Malware
Avg_ARITHMETIC,11.377773293825054,11.976004079014592
Avg_BOOLEAN,0.06949305302287376,0.17384195597325278
Avg_BRANCHING,12.74357014276945,13.898220179631481
Avg_CFG_EDGES,17.632465683152866,18.834302818092414
Avg_CFG_EDGE_TO_NODE_RATIO,1.1013102577199823,1.06756817365095
Avg_CFG_NODES,11.558762638231478,13.27473072913293
Avg_DATA_MOVING,60.79809886864495,90.66026951474791
Avg_EXTENSION,19.99165354281288,25.816400207135104
Avg_FLOATING_POINT,0.004184897632436045,0.02366727291527783
Avg_FLOATING_POINT_COMPARE,0.0023180716532142814,0.021044650984498613
Avg_FLOATING_POINT_CONVERSION,0.003483742159485951,0.00974473916373116
Avg_FUNCTION_IN_DEGREE,1.4889590127590755,2.617896411938195
Avg_FUNCTION_OUT_DEGREE,1.4807310078826266,2.7133411830298044
Avg_INTEGER_COMPARISON,3.1717887616530316,5.26857638993856
Avg_LOGICAL,2.2107797164763308,4.208597870995375
Avg_TOTAL_OPS,110.37314409064973,152.0563668604998
Total_ARITHMETIC,5252.232394366197,2541.6728971962616
Total_BOOLEAN,24.816901408450704,33.177570093457945
Total_BRANCHING,5559.391549295775,3008.003738317757
Total_CFG_EDGES,8022.46338028169,4059.573831775701
Total_CFG_EDGE_TO_NODE_RATIO,478.3711101014891,246.3272098318932
Total_CFG_NODES,5226.976056338028,2882.4710280373833
Total_DATA_MOVING,23436.115492957746,17257.00934579439
Total_EXTENSION,8046.891549295775,5299.859813084112
Total_FLOATING_POINT,3.259154929577465,6.149532710280374
Total_FLOATING_POINT_COMPARE,1.7732394366197184,5.454205607476635
Total_FLOATING_POINT_CONVERSION,4.354929577464789,2.6654205607476635
Total_FUNCTION_IN_DEGREE,923.1633802816901,608.5719626168225
Total_FUNCTION_OUT_DEGREE,922.0647887323944,619.414953271028
Total_INTEGER_COMPARISON,1429.5760563380281,1153.8672897196261
Total_LOGICAL,900.1676056338029,826.211214953271
Total_TOTAL_OPS,44658.578873239436,30134.071028037382
Total_functions,388.26197183098594,230.84672897196262
