Feature,Importance
Avg_LOGICAL,0.1321767795378844
Avg_ARITHMETIC,0.09217839423599519
Avg_INTEGER_COMPARISON,0.09091188321865244
Avg_BOOLEAN,0.08356403484311914
Avg_CFG_EDGE_TO_NODE_RATIO,0.0767868829752883
Avg_CFG_NODES,0.05581486135448199
Avg_CFG_EDGES,0.04963654645318815
Avg_TOTAL_OPS,0.035032392726808706
Avg_BRANCHING,0.03004532208710867
Avg_EXTENSION,0.029453417891281357
Total_functions,0.02864365803638006
Total_LOGICAL,0.027588826806270762
Total_BRANCHING,0.027527595760969498
Avg_DATA_MOVING,0.02500280698768312
Total_EXTENSION,0.023875345376035396
Avg_FUNCTION_IN_DEGREE,0.023400152211363014
Avg_FUNCTION_OUT_DEGREE,0.02041412828806981
Total_FUNCTION_OUT_DEGREE,0.019379809276233815
Total_CFG_EDGES,0.019117480847507137
Total_BOOLEAN,0.016484392685735868
Total_FUNCTION_IN_DEGREE,0.016187885574142497
Total_CFG_NODES,0.016003765880887203
Total_DATA_MOVING,0.01417397055912995
Total_INTEGER_COMPARISON,0.014036197377458181
Total_ARITHMETIC,0.01253174717498068
Total_CFG_EDGE_TO_NODE_RATIO,0.011134380718183979
Total_TOTAL_OPS,0.008731213627750036
Avg_FLOATING_POINT,0.00011246211615794956
Total_FLOATING_POINT_CONVERSION,5.366537125274009e-05
Avg_FLOATING_POINT_CONVERSION,0.0
Avg_FLOATING_POINT_COMPARE,0.0
Total_FLOATING_POINT,0.0
Total_FLOATING_POINT_COMPARE,0.0
