Feature,Importance
Avg_LOGICAL,0.1833228437692696
Avg_ARITHMETIC,0.11973169361254693
Avg_CFG_EDGE_TO_NODE_RATIO,0.09090964562585509
Avg_CFG_NODES,0.05495268384064708
Total_LOGICAL,0.0545384654831518
Avg_INTEGER_COMPARISON,0.051692101756866046
Total_FUNCTION_OUT_DEGREE,0.03636898494635963
Avg_BOOLEAN,0.03472579780967782
Avg_EXTENSION,0.033352539973481005
Avg_CFG_EDGES,0.030498838129279133
Total_CFG_EDGE_TO_NODE_RATIO,0.026958151362670914
Total_FUNCTION_IN_DEGREE,0.0230826187679517
Total_functions,0.022592222904315448
Avg_FUNCTION_OUT_DEGREE,0.0203686182698308
Total_BOOLEAN,0.01910789189679497
Avg_TOTAL_OPS,0.01789522078641207
Avg_FUNCTION_IN_DEGREE,0.0178193879170654
Total_ARITHMETIC,0.017586780097212734
Avg_DATA_MOVING,0.017469874006084546
Total_BRANCHING,0.015730709705853788
Total_EXTENSION,0.013500320627346433
Total_CFG_EDGES,0.012993925222784338
Total_CFG_NODES,0.012126683685205818
Avg_BRANCHING,0.011869349038895227
Avg_FLOATING_POINT_COMPARE,0.011100925280387045
Total_INTEGER_COMPARISON,0.010863182322984295
Total_DATA_MOVING,0.010104692349819078
Total_FLOATING_POINT_COMPARE,0.00762596739249878
Total_TOTAL_OPS,0.007353473281572209
Total_FLOATING_POINT_CONVERSION,0.005140819479490143
Avg_FLOATING_POINT,0.003042554850973322
Avg_FLOATING_POINT_CONVERSION,0.002978894756360883
Total_FLOATING_POINT,0.0025941410503559424
