Feature,Importance
Avg_INTEGER_COMPARISON,0.18496288673424977
Avg_LOGICAL,0.1757464936393772
Avg_CFG_EDGES,0.13436785870760518
Avg_CFG_EDGE_TO_NODE_RATIO,0.09615674233422382
Avg_CFG_NODES,0.07448828809004772
Avg_BRANCHING,0.06334380099401445
Avg_ARITHMETIC,0.04931253166998219
Avg_EXTENSION,0.042508258414959844
Avg_TOTAL_OPS,0.03555950251617634
Total_functions,0.03150901900138336
Total_FUNCTION_OUT_DEGREE,0.017123730434597046
Avg_FLOATING_POINT_COMPARE,0.011506659729520523
Avg_BOOLEAN,0.011021263996394703
Total_LOGICAL,0.009805236397445556
Total_ARITHMETIC,0.00782085337597369
Total_BRANCHING,0.0058527999849799835
Total_FUNCTION_IN_DEGREE,0.005755249467382048
Total_CFG_EDGE_TO_NODE_RATIO,0.004855033875440092
Total_CFG_NODES,0.004556091676605672
Total_FLOATING_POINT_COMPARE,0.00440920117400792
Total_CFG_EDGES,0.004385048007580696
Total_INTEGER_COMPARISON,0.003299257256428911
Avg_FLOATING_POINT_CONVERSION,0.003152327342986301
Avg_FLOATING_POINT,0.0026831290035329836
Total_TOTAL_OPS,0.0026040439289709465
Avg_DATA_MOVING,0.002415730633984623
Avg_FUNCTION_OUT_DEGREE,0.0024117827135370544
Total_EXTENSION,0.002059823596828381
Total_BOOLEAN,0.0015118336026700213
Total_DATA_MOVING,0.0014474561568874156
Total_FLOATING_POINT,0.0014459501803646263
Avg_FUNCTION_IN_DEGREE,0.0012137917061553465
Total_FLOATING_POINT_CONVERSION,0.0007083236557055817
