Feature,Importance
Avg_LOGICAL,0.1387513031090947
Avg_INTEGER_COMPARISON,0.08630109319113424
Avg_CFG_EDGE_TO_NODE_RATIO,0.0835940658955438
Total_LOGICAL,0.07179249491642742
Total_ARITHMETIC,0.04639758123730695
Avg_DATA_MOVING,0.046285156302609216
Total_BRANCHING,0.03900635393353578
Avg_TOTAL_OPS,0.03518329686674913
Total_CFG_EDGES,0.03302572621278368
Total_CFG_NODES,0.031619905069246175
Avg_FLOATING_POINT_COMPARE,0.027477593771858533
Total_EXTENSION,0.025325621231544325
Total_DATA_MOVING,0.02408797480505484
Avg_CFG_EDGES,0.023545160527264093
Total_FUNCTION_OUT_DEGREE,0.022617749057960292
Total_functions,0.021589656183572864
Total_TOTAL_OPS,0.019941441374598263
Total_CFG_EDGE_TO_NODE_RATIO,0.019809583451323796
Avg_FUNCTION_IN_DEGREE,0.019116471301817598
Avg_BOOLEAN,0.01837689222214997
Total_FLOATING_POINT_COMPARE,0.016687056205201403
Total_FUNCTION_IN_DEGREE,0.016335268504172027
Avg_BRANCHING,0.016161650378977613
Avg_EXTENSION,0.01573056960376437
Avg_CFG_NODES,0.015191356507524671
Avg_ARITHMETIC,0.014844967955585719
Total_INTEGER_COMPARISON,0.013835615364520002
Avg_FUNCTION_OUT_DEGREE,0.01265841843210281
Total_BOOLEAN,0.012080055121833157
Avg_FLOATING_POINT_CONVERSION,0.01156529532637879
Total_FLOATING_POINT_CONVERSION,0.009033737913199365
Avg_FLOATING_POINT,0.007330842707276428
Total_FLOATING_POINT,0.004700045317887967
