Feature,Benign Mean,Malware Mean,Absolute Difference,Percent Difference,Effect Size
Avg_CFG_EDGE_TO_NODE_RATIO,0.5737850713253118,0.8759526188431969,0.3021675475178851,34.49587808949467,1.4489001667952095
Avg_CFG_NODES,8.584315901760826,15.462266791609196,6.877950889848369,44.482164113096154,0.9654927329737326
Avg_FLOATING_POINT_COMPARE,0.0053283755303475955,0.023222101222576053,0.017893725692228458,77.05472265719237,0.9462866818634194
Avg_CFG_EDGES,12.196198342050664,22.123013770928,9.926815428877337,44.8709905967795,0.9212448172739459
Avg_BOOLEAN,0.08544829536661828,0.41579452635624564,0.33034623098962734,79.44939388321633,0.892544824497149
Avg_TOTAL_OPS,89.12142358983371,197.22235039712672,108.100926807293,54.8117019139165,0.7959851784017538
Avg_ARITHMETIC,6.793717971784565,18.150535887730694,11.356817915946129,62.5701521221919,0.7764150606724148
Avg_BRANCHING,10.477153234127988,15.009457223245558,4.532303989117571,30.196321703747337,0.7543218313549432
Avg_INTEGER_COMPARISON,3.5772542109514065,7.201346868300139,3.624092657348733,50.32520615416753,0.6632924895769778
Avg_DATA_MOVING,48.88620373568451,113.9333859256077,65.04718218992318,57.09229271251137,0.6524458770160342
Avg_EXTENSION,18.156530137727103,36.090688726921115,17.934158589194013,49.69192670412075,0.5982084370514215
Avg_FUNCTION_OUT_DEGREE,2.046113444390574,2.443242913748467,0.3971294693578926,16.25419507504514,0.4809645730001239
Avg_FUNCTION_IN_DEGREE,2.046757444464076,2.443774738757456,0.39701729429337984,16.246067528107947,0.48053484936173857
Total_BOOLEAN,39.166666666666664,92.1283185840708,52.96165191740413,57.48683220466516,0.45001932179476584
Total_FLOATING_POINT_COMPARE,2.284313725490196,5.797935103244837,3.5136213777546415,60.60125398416808,0.44707318349295927
Avg_LOGICAL,1.081132112995177,6.314863103667527,5.23373099067235,82.8795637332616,0.32732985051975233
Total_BRANCHING,6641.764705882353,3643.3053097345132,2998.45939614784,82.30052496935365,0.18433845311810115
Total_FUNCTION_IN_DEGREE,1179.764705882353,667.594395280236,512.170310602117,76.71878527187505,0.17517312881019212
Total_FUNCTION_OUT_DEGREE,1179.2303921568628,667.52802359882,511.70236855804274,76.65631261431093,0.17504511043822898
Total_CFG_EDGES,8195.995098039215,5075.159292035398,3120.835806003817,61.49237149859395,0.1490787320548024
Total_CFG_NODES,5644.504901960784,3590.7817109144544,2053.7231910463297,57.194320245195684,0.14378144886678124
Total_functions,452.5833333333333,274.52507374631267,178.05825958702064,64.86047236310496,0.13696424426941786
Total_INTEGER_COMPARISON,2510.794117647059,1593.8761061946902,916.9180114523688,57.527558628221776,0.1294742276237132
Total_LOGICAL,682.8333333333334,999.6135693215339,316.7802359882005,31.69026969123761,0.12896005191865273
Total_CFG_EDGE_TO_NODE_RATIO,373.4453994844938,231.97494912086356,141.47045036363025,60.98522745657391,0.12009673714542998
Total_EXTENSION,11624.906862745098,7413.824483775811,4211.082378969287,56.800405623099,0.10765340366097428
Avg_FLOATING_POINT_CONVERSION,0.029316717213587706,0.042845491201121105,0.0135287739875334,31.575723858615497,0.09090617894220622
Total_TOTAL_OPS,55590.813725490196,40701.77433628318,14889.039389207013,36.58081160342519,0.09057880289473551
Total_ARITHMETIC,4784.049019607844,3683.33185840708,1100.7171612007637,29.883735799922945,0.0838440286969953
Total_DATA_MOVING,29287.37745098039,23249.216814159292,6038.1606368211,25.971458243461022,0.06655928758435549
Avg_FLOATING_POINT,0.029338798452425867,0.040210542874030114,0.010871744421604247,27.037049600804412,0.0662433102691352
Total_FLOATING_POINT_CONVERSION,8.96078431372549,10.558997050147493,1.5982127364220027,15.1360278711289,0.04694566488692491
Total_FLOATING_POINT,8.676470588235293,10.12094395280236,1.4444733645670667,14.272120973134234,0.03950823487872445
