file_name,CPU,label,Avg_ARITHMETIC,Avg_BITFIELD,Avg_BOOLEAN,Avg_BRANCHING,Avg_CFG_EDGES,Avg_CFG_EDGE_TO_NODE_RATIO,Avg_CFG_NODES,Avg_DATA_MOVING,Avg_EXTENSION,Avg_FLOATING_POINT,Avg_FLOATING_POINT_COMPARE,Avg_FLOATING_POINT_CONVERSION,Avg_FUNCTION_IN_DEGREE,Avg_FUNCTION_OUT_DEGREE,Avg_INTEGER_COMPARISON,Avg_LOGICAL,Avg_MANAGED,Avg_MISC,Avg_TOTAL_OPS,Avg_UNRECOGNIZED_OPS,Total_ARITHMETIC,Total_BITFIELD,Total_BOOLEAN,Total_BRANCHING,Total_CFG_EDGES,Total_CFG_EDGE_TO_NODE_RATIO,Total_CFG_NODES,Total_DATA_MOVING,Total_EXTENSION,Total_FLOATING_POINT,Total_FLOATING_POINT_COMPARE,Total_FLOATING_POINT_CONVERSION,Total_FUNCTION_IN_DEGREE,Total_FUNCTION_OUT_DEGREE,Total_INTEGER_COMPARISON,Total_LOGICAL,Total_MANAGED,Total_MISC,Total_TOTAL_OPS,Total_UNRECOGNIZED_OPS,Total_functions
30ce5f7c33dd9461cba5a69a7b52fcd4b061ca0ac8e836eaa2ffb8d319a4fb7e,Advanced Micro Devices X86-64,benign,0.25,0,0,1.875,0.5,0.125,1.5,2.125,0.5,0,0,0,0.25,0.625,0.125,0.125,0,0,5,0,2,0,0,15,4,1.0,12,17,4,0,0,0,2,5,1,1,0,0,40,0,8
3056558ee55ec6059321264d4f33dd60dd8b22fb19d5d8a8218e4f1f4e2c56f1,Advanced Micro Devices X86-64,benign,1.6153846153846154,0,0,4,3.8461538461538463,0.5272435897435898,3.3076923076923075,2.8461538461538463,1.4615384615384615,0,0,0,0.7692307692307693,1.7692307692307692,1,0.07692307692307693,0,0,11,0,21,0,0,52,50,6.854166666666667,43,37,19,0,0,0,10,23,13,1,0,0,143,0,13
30f239b024619f7e8a4158c5d80c523533f5893180cb80577befe4ce1cfcae95,Advanced Micro Devices X86-64,benign,2.0588235294117645,0,0,5.117647058823529,5.176470588235294,0.8600922722029989,4.588235294117647,7.588235294117647,3.5294117647058822,0,0,0,0.5294117647058824,1.3529411764705883,1.2352941176470589,0.23529411764705882,0,0,19.764705882352942,0,35,0,0,87,88,14.62156862745098,78,129,60,0,0,0,9,23,21,4,0,0,336,0,17
3015c4fc7be3238ad15eb443e88801c1020ed2b9e69f69eaba1acc02308e5d29,Advanced Micro Devices X86-64,benign,3.5384615384615383,0,0.07692307692307693,7.230769230769231,7,0.5691208791208792,6,18.076923076923077,8.076923076923077,0,0,0,0.38461538461538464,2.6923076923076925,1.7692307692307692,0.07692307692307693,0,0,38.84615384615385,0,46,0,1,94,91,7.398571428571429,78,235,105,0,0,0,5,35,23,1,0,0,505,0,13
3006cd52e85c16c77d8495bf30f6ce66c0ffeaf4d416f5a786155bdc477d52ba,Advanced Micro Devices X86-64,benign,1,0,0,3.7142857142857144,2.2142857142857144,0.38537414965986394,2.857142857142857,1.9285714285714286,0.7142857142857143,0,0,0,0.7142857142857143,1.2142857142857142,0.8571428571428571,0.14285714285714285,0,0,8.357142857142858,0,14,0,0,52,31,5.395238095238096,40,27,10,0,0,0,10,17,12,2,0,0,117,0,14
306bfa72613d2d096bd311c35c6db362d87b47f4a2d4a914738540cea7ae3f8b,Advanced Micro Devices X86-64,benign,13.7,0,0,16,24.7,0.3682462927143778,17.5,28,32.6,0,0,0,0.3,0.7,8.4,2.4,0,0,101.1,0,137,0,0,160,247,3.6824629271437783,175,280,326,0,0,0,3,7,84,24,0,0,1011,0,10
308694e4845b3deb64aa3fef16a805befd4e1f0c73c3dd5f6ecd579dbaec801e,Advanced Micro Devices X86-64,benign,14.1,0,0,16.8,26,0.4704856787048568,18.1,28.6,34.9,0,0,0,0.3,0.7,9,2.5,0,0,105.9,0,141,0,0,168,260,4.704856787048568,181,286,349,0,0,0,3,7,90,25,0,0,1059,0,10
3075ccde8510013154ab0025b7301d8a258605a9ac55a0539b63ad36cbd2a952,Advanced Micro Devices X86-64,benign,17.88888888888889,0,0,24.11111111111111,39.22222222222222,0.4151104886399004,26.22222222222222,43.55555555555556,44.44444444444444,0,0,0,0.2222222222222222,0.6666666666666666,13.666666666666666,2.6666666666666665,0,0,146.33333333333334,0,161,0,0,217,353,3.7359943977591037,236,392,400,0,0,0,2,6,123,24,0,0,1317,0,9
304f50ca953d2b660bb80839ff5ad8f5db1f8d0f444c790110b62455c1d929d0,Advanced Micro Devices X86-64,benign,14.1,0,0,16.8,26,0.4704856787048568,18.1,28.6,34.9,0,0,0,0.3,0.7,9,2.5,0,0,105.9,0,141,0,0,168,260,4.704856787048568,181,286,349,0,0,0,3,7,90,25,0,0,1059,0,10
302bbcfa5e43c68d2ba35ea5ca21e50ad28538d3561a1fad46154a12c83a747a,Advanced Micro Devices X86-64,benign,14.1,0,0,16.8,26,0.4704856787048568,18.1,28.6,34.9,0,0,0,0.3,0.7,9,2.5,0,0,105.9,0,141,0,0,168,260,4.704856787048568,181,286,349,0,0,0,3,7,90,25,0,0,1059,0,10
